EAR,MAR,BLINK_RATE,HEAD_TILT,Fatigue
0.24911842604959375,0.3736776390743906,42,0,0
0.27521834956347063,0.412827524345206,42,0,0
0.2555225889437922,0.3832838834156883,42,0,0
0.30976358474014465,0.464645377110217,42,0,0
0.32374024952452246,0.48561037428678366,42,0,0
0.32374024952452246,0.48561037428678366,42,0,0
0.28878315056789317,0.43317472585183975,42,0,0
0.3001742737592017,0.45026141063880254,42,0,0
0.3007005388892995,0.4510508083339492,42,0,0
0.18616702677262117,0.27925054015893175,43,0,1
0.2333641264649784,0.3500461896974676,44,0,0
0.22160149613368355,0.33240224420052533,45,0,0
0.19668790350924306,0.2950318552638646,46,0,1
0.22484220382414555,0.3372633057362183,47,0,0
0.22484220382414555,0.3372633057362183,48,0,0
0.2399603239506952,0.3599404859260428,49,0,0
0.23624178253825215,0.35436267380737824,50,0,0
0.2504282878586481,0.3756424317879722,50,0,0
0.2611450196949492,0.3917175295424238,50,0,0
0.2614022632507008,0.3921033948760512,50,0,0
0.2799344119726025,0.41990161795890374,50,0,0
0.2679985157046388,0.4019977735569582,50,0,0
0.2551413825020088,0.3827120737530132,50,0,0
0.2551413825020088,0.3827120737530132,50,0,0
0.2422842492993788,0.3634263739490682,51,0,0
0.23346453229694844,0.3501967984454227,52,0,0
0.2422842492993788,0.3634263739490682,53,0,0
0.2422842492993788,0.3634263739490682,54,0,0
0.24253562503633297,0.36380343755449945,55,0,0
0.2554060978239474,0.3831091467359211,55,0,0
0.249085920156957,0.3736288802354355,56,0,0
0.18610632876974845,0.2791594931546227,57,0,1
0.20465106796351543,0.30697660194527315,58,0,0
0.2156433491738311,0.32346502376074665,59,0,0
0.249085920156957,0.3736288802354355,60,0,0
0.25372059944451775,0.3805808991667766,60,0,0
0.2912536888283433,0.43688053324251497,60,0,0
0.25599971087107803,0.383999566306617,60,0,0
0.25599971087107803,0.383999566306617,60,0,0
0.25372059944451775,0.3805808991667766,60,0,0
0.24248640658114348,0.3637296098717152,61,0,0
0.23774504008938843,0.35661756013408263,62,0,0
0.23774504008938843,0.35661756013408263,63,0,0
0.2356131987738797,0.3534197981608196,64,0,0
0.22907350584194555,0.34361025876291834,65,0,0
0.24951079583611724,0.37426619375417586,66,0,0
0.21556020155201103,0.3233403023280165,67,0,0
0.24951079583611724,0.37426619375417586,68,0,0
0.22180458772165487,0.3327068815824823,69,0,0
0.23260696664888122,0.3489104499733218,70,0,0
0.21412087909648583,0.32118131864472876,71,0,0
0.20791829239683,0.31187743859524497,72,0,0
0.2687489646386809,0.4031234469580214,72,0,0
0.21095550689196169,0.3164332603379425,73,0,0
0.23983042646373343,0.35974563969560014,74,0,0
0.2329781285647696,0.3494671928471544,75,0,0
0.24688288865130623,0.3703243329769593,76,0,0
0.24688288865130623,0.3703243329769593,77,0,0
0.2329781285647696,0.3494671928471544,78,0,0
0.23035022137995856,0.34552533206993785,79,0,0
0.23035022137995856,0.34552533206993785,80,0,0
0.23983042646373343,0.35974563969560014,81,0,0
0.2371252278911338,0.3556878418367007,82,0,0
0.2371252278911338,0.3556878418367007,83,0,0
0.2329781285647696,0.3494671928471544,84,0,0
